Module,Register Address,Register Name,Access,Reset Value,Bit Field,Field Name,Description,Notes
ubwc_dec_apb_reg_blk_v2,0x002C,OTF_CFG1,RW,0x00000000,31:16:00,h_sync,OTF H_SYNC,
ubwc_dec_apb_reg_blk_v2,0x0030,OTF_CFG2,RW,0x00000000,15:00,h_bp,OTF H_BP,
ubwc_dec_apb_reg_blk_v2,0x0030,OTF_CFG2,RW,0x00000000,31:16:00,h_act,OTF H_ACT,
ubwc_dec_apb_reg_blk_v2,0x0034,OTF_CFG3,RW,0x00000000,15:00,v_total,OTF V_TOTAL,
ubwc_dec_apb_reg_blk_v2,0x0034,OTF_CFG3,RW,0x00000000,31:16:00,v_sync,OTF V_SYNC,
ubwc_dec_apb_reg_blk_v2,0x0038,OTF_CFG4,RW,0x00000000,15:00,v_bp,OTF V_BP,
ubwc_dec_apb_reg_blk_v2,0x0038,OTF_CFG4,RW,0x00000000,31:16:00,v_act,OTF V_ACT,
ubwc_dec_apb_reg_blk_v2,0x003C,TILE_BASE_RGUV_LO,RW,0x00000000,31:00:00,tile_rgba_uv_base[31:0],Low 32 bits of the RGBA or UV tile base address,
ubwc_dec_apb_reg_blk_v2,0x0040,TILE_BASE_RGUV_HI,RW,0x00000000,31:00:00,tile_rgba_uv_base[63:32],High 32 bits of the RGBA or UV tile base address,Forms the full address when AXI_AW=64
ubwc_dec_apb_reg_blk_v2,0x0044,TILE_BASE_Y_LO,RW,0x00000000,31:00:00,tile_y_base[31:0],Low 32 bits of the Y tile base address,
ubwc_dec_apb_reg_blk_v2,0x0048,TILE_BASE_Y_HI,RW,0x00000000,31:00:00,tile_y_base[63:32],High 32 bits of the Y tile base address,Forms the full address when AXI_AW=64
